type,year,country,series,value,id,image,feature,volume
CC,2018,Germany,CC-2018,2.0,CC2018DEU-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_Germany_berlin.jpg,Berlin (‘Federal States’ (Bundesländer) series),30 million coins
CC,2018,Slovakia,CC-2018,2.0,CC2018SVK-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_slovakia_anniversary.jpg,The 25th anniversary of the establishment of the Slovak Republic,1 million coins
CC,2018,Austria,CC-2018,2.0,CC2018AUT-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2017_Austria_100years.jpg,100 years of the Austrian Republic,18 100 100 coins
CC,2019,Andorra,CC-2019,2.0,CC2019AND-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2019/comm_2019_ad_600yrs_councilland.jpg,600 years of the Council of the Land,60 000 coins
CC,2019,Andorra,CC-2019,2.0,CC2019AND-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2019/comm_2019_ad_Skiwldcup.jpg,Ski World Cup Finals 2019,60 000 coins
CC,2019,Estonia,CC-2019,2.0,CC2019EST-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2019/comm_2019_et_centUnivTartu.jpg,The centenary of the University of Tartu,1 000 000 coins
CC,2019,Estonia,CC-2019,2.0,CC2019EST-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2019/comm_2019_et_150yrSongfestival.jpg,Song Festival’s 150-year anniversary,1 million coins
CC,2019,Slovenia,CC-2019,2.0,CC2019SVN-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2019/comm_2019_sv_100anni_university_ljublja.jpg,The 100th anniversary of the foundation of the University of Ljubljana,1 000 000 coins
CC,2019,Lithuania,CC-2019,2.0,CC2019LTU-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2019/comm_2019_lt_sutartines.jpg,Sutartinės (Lithuanian multipart songs — inscribed on the Unesco Representative List of the Intangible Cultural Heritage of Humanity),500 000 coins
CC,2019,Lithuania,CC-2019,2.0,CC2019LTU-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2019/comm_2019_lt_samogitia.jpg,Samogitia (Lithuanian Ethnographic Regions),500 000 coins
CC,2019,Portugal,CC-2019,2.0,CC2019PRT-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2019/comm_2019_pt_madeira.jpg,"600 years of the discovery of the Madeira Archipelago, by the Portuguese navigators Bartolomeu Perestrelo and Tristão Vaz",500 000 coins
CC,2019,Portugal,CC-2019,2.0,CC2019PRT-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2019/comm_2019_pt_Fernao_De_Magalhaes.jpg,500 years of the first circumnavigation organised and led by the Portuguese explorer and navigator Fernão De Magalhães,750 000 coins
CC,2019,Malta,CC-2019,2.0,CC2019MLT-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2019/comm_2019_mt_nature_dvpt.jpg,Nature and Environment,320 000 coins
